"year","fips_county","county_name","state_code","issuer_name","issuer_id","plans","rating_area"
2014,"44001","Bristol County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2014,"44001","Bristol County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2014,"44003","Kent County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2014,"44003","Kent County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2014,"44005","Newport County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2014,"44005","Newport County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2014,"44007","Providence County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2014,"44007","Providence County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2014,"44009","Washington County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2014,"44009","Washington County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2015,"44001","Bristol County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2015,"44001","Bristol County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2015,"44001","Bristol County","RI","United HealthCare of New England, Inc.",79881,,1
2015,"44003","Kent County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2015,"44003","Kent County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2015,"44003","Kent County","RI","United HealthCare of New England, Inc.",79881,,1
2015,"44005","Newport County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2015,"44005","Newport County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2015,"44005","Newport County","RI","United HealthCare of New England, Inc.",79881,,1
2015,"44007","Providence County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2015,"44007","Providence County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2015,"44007","Providence County","RI","United HealthCare of New England, Inc.",79881,,1
2015,"44009","Washington County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2015,"44009","Washington County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2015,"44009","Washington County","RI","United HealthCare of New England, Inc.",79881,,1
2016,"44001","Bristol County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2016,"44001","Bristol County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2016,"44001","Bristol County","RI","United HealthCare of New England, Inc.",79881,,1
2016,"44003","Kent County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2016,"44003","Kent County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2016,"44003","Kent County","RI","United HealthCare of New England, Inc.",79881,,1
2016,"44005","Newport County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2016,"44005","Newport County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2016,"44005","Newport County","RI","United HealthCare of New England, Inc.",79881,,1
2016,"44007","Providence County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2016,"44007","Providence County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2016,"44007","Providence County","RI","United HealthCare of New England, Inc.",79881,,1
2016,"44009","Washington County","RI","Blue Cross & Blue Shield of Rhode Island",15287,,1
2016,"44009","Washington County","RI","Neighborhood Health Plan of Rhode Island",77514,,1
2016,"44009","Washington County","RI","United HealthCare of New England, Inc.",79881,,1
2017,"44001","Bristol County","RI","Blue Cross & Blue Shield of Rhode Island",15287,11,1
2017,"44001","Bristol County","RI","Neighborhood Health Plan of Rhode Island",77514,6,1
2017,"44003","Kent County","RI","Blue Cross & Blue Shield of Rhode Island",15287,11,1
2017,"44003","Kent County","RI","Neighborhood Health Plan of Rhode Island",77514,6,1
2017,"44005","Newport County","RI","Blue Cross & Blue Shield of Rhode Island",15287,11,1
2017,"44005","Newport County","RI","Neighborhood Health Plan of Rhode Island",77514,6,1
2017,"44007","Providence County","RI","Blue Cross & Blue Shield of Rhode Island",15287,11,1
2017,"44007","Providence County","RI","Neighborhood Health Plan of Rhode Island",77514,6,1
2017,"44009","Washington County","RI","Blue Cross & Blue Shield of Rhode Island",15287,11,1
2017,"44009","Washington County","RI","Neighborhood Health Plan of Rhode Island",77514,6,1
