"year","state_code","fips_county","county_name","issuer_name","issuer_id","rating_area","plans"
2017,"CO","08001","Adams","Cigna Health and Life Insurance Company",49375,3,15
2017,"CO","08001","Adams","Denver Health Medical Plan, Inc.",66699,3,7
2017,"CO","08001","Adams","HMO Colorado Inc(Anthem BCBS)",76680,3,15
2017,"CO","08001","Adams","Kaiser Foundation Health Plan of Colorado",21032,3,20
2017,"CO","08003","Alamosa","Colorado Choice Health Plans",63312,8,15
2017,"CO","08003","Alamosa","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08005","Arapahoe","Bright Health Plan",31070,3,6
2017,"CO","08005","Arapahoe","Cigna Health and Life Insurance Company",49375,3,15
2017,"CO","08005","Arapahoe","Denver Health Medical Plan, Inc.",66699,3,7
2017,"CO","08005","Arapahoe","HMO Colorado Inc(Anthem BCBS)",76680,3,15
2017,"CO","08005","Arapahoe","Kaiser Foundation Health Plan of Colorado",21032,3,10
2017,"CO","08007","Archuleta","HMO Colorado Inc(Anthem BCBS)",76680,9,19
2017,"CO","08009","Baca","Colorado Choice Health Plans",63312,8,15
2017,"CO","08009","Baca","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08011","Bent","Colorado Choice Health Plans",63312,8,15
2017,"CO","08011","Bent","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08013","Boulder","Bright Health Plan",31070,1,6
2017,"CO","08013","Boulder","Cigna Health and Life Insurance Company",49375,1,15
2017,"CO","08013","Boulder","HMO Colorado Inc(Anthem BCBS)",76680,1,15
2017,"CO","08013","Boulder","Kaiser Foundation Health Plan of Colorado",21032,1,20
2017,"CO","08014","Broomfield","Bright Health Plan",31070,3,6
2017,"CO","08014","Broomfield","Cigna Health and Life Insurance Company",49375,3,15
2017,"CO","08014","Broomfield","HMO Colorado Inc(Anthem BCBS)",76680,3,15
2017,"CO","08014","Broomfield","Kaiser Foundation Health Plan of Colorado",21032,3,10
2017,"CO","08015","Chaffee","Colorado Choice Health Plans",63312,8,15
2017,"CO","08015","Chaffee","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08017","Cheyenne","Colorado Choice Health Plans",63312,8,15
2017,"CO","08017","Cheyenne","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08019","ClearCreek","HMO Colorado Inc(Anthem BCBS)",76680,3,15
2017,"CO","08019","ClearCreek","Kaiser Foundation Health Plan of Colorado",21032,3,10
2017,"CO","08021","Conejos","Colorado Choice Health Plans",63312,8,15
2017,"CO","08021","Conejos","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08023","Costilla","Colorado Choice Health Plans",63312,8,15
2017,"CO","08023","Costilla","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08025","Crowley","Colorado Choice Health Plans",63312,8,15
2017,"CO","08025","Crowley","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08025","Crowley","Kaiser Foundation Health Plan of Colorado",21032,8,10
2017,"CO","08027","Custer","Colorado Choice Health Plans",63312,8,15
2017,"CO","08027","Custer","HMO Colorado Inc(Anthem BCBS)",76680,8,15
